Lead_Leg_GRF_mag_max_1_1,Lead_Leg_GRF_max_2_1,Lead_Leg_GRF_min_3_1,Lead_Leg_GRF_mag_Midpoint_FS_Release_4_1,Lead_Leg_GRF@Midpoint_FS_Release_5_1,Lead_Leg_GRF@Midpoint_FS_Release_6_1,Lead_Leg_GRF_Mag@Max_Shoulder_Rot_7_1,Lead_Leg_GRF@Max_Shoulder_Rot_8_1,Lead_Leg_GRF@Max_Shoulder_Rot_9_1,Trunk_COG@Footstrike_10_1,Trunk_COG@Release_11_1,Trunk_COG_Translation_12_1,Trunk_COG@Footstrike_13_1,Trunk_COG@Release_14_1,Trunk_COG_Translation_15_1,HEIGHT_16_1,MASS_17_1
1943.5597,1715.1165,-940.8028,1756.6207,1496.6176,-913.7804,1943.5594,1715.1166,-903.402,0.4349,0.4884,0.0535,1.4344,1.6634,0.229,1.8542,92.0788
2054.1541,1794.2252,-1066.7892,1904.4008,1579.5018,-1060.6439,2054.1541,1792.2659,-991.9835,0.3559,0.4004,0.0445,1.4642,1.6589,0.1947,1.8542,92.0788
1920.7333,1660.8871,-1044.0228,1885.7456,1631.6088,-933.136,1637.3147,1464.7223,-727.0818,0.4375,0.4819,0.0444,1.4545,1.6771,0.2226,1.8542,92.0788
1961.9353,1689.1467,-1054.5642,1871.6211,1574.3168,-995.775,1961.9352,1688.7928,-981.6098,0.4173,0.4573,0.0401,1.5018,1.7126,0.2108,1.8542,92.0788
2095.9343,1810.1151,-1081.374,2062.1594,1753.8594,-1077.7487,2006.9731,1747.4482,-982.1839,0.392,0.4252,0.0332,1.4742,1.6488,0.1745,1.8542,92.0788
1.8542,92.0788,1943.5597,1715.1165,-940.8028,1756.6207,1496.6176,-913.7804,1943.5594,1715.1166,-903.402,0.4349,0.4884,0.0535,1.4344,1.6634,0.229
1.8542,92.0788,2054.1541,1794.2252,-1066.7892,1904.4008,1579.5018,-1060.6439,2054.1541,1792.2659,-991.9835,0.3559,0.4004,0.0445,1.4642,1.6589,0.1947
1.8542,92.0788,1920.7333,1660.8871,-1044.0228,1885.7456,1631.6088,-933.136,1637.3147,1464.7223,-727.0818,0.4375,0.4819,0.0444,1.4545,1.6771,0.2226
1.8542,92.0788,1961.9353,1689.1467,-1054.5642,1871.6211,1574.3168,-995.775,1961.9352,1688.7928,-981.6098,0.4173,0.4573,0.0401,1.5018,1.7126,0.2108
1.8542,92.0788,2095.9343,1810.1151,-1081.374,2062.1594,1753.8594,-1077.7487,2006.9731,1747.4482,-982.1839,0.392,0.4252,0.0332,1.4742,1.6488,0.1745
